road_id,OBJECTID,DISSOLVE_ID,class,subtype,RoadClass,LandUse,RoadLength,SpeedLimit,SpeedLimitFloor,PercentileBand,RankedPercentile,MedianSpeed,F85thPercentileSpeed,PercentOverLimit,NumberOverLimit,Pass,ExcludeFromSpeedSPI,AnalysisStatus,coord_lng1,coord_lat1,coord_lng2,coord_lat2,StreetImageLink,Shape_Length,yolo_images_found,yolo_total_vehicles,yolo_total_pedestrians,yolo_total_cars,yolo_total_trucks,yolo_total_buses,yolo_total_motorcycles,yolo_total_bicycles,yolo_max_vehicles_single_image,yolo_avg_vehicles_per_image,yolo_per_heading_json,vlm_images_sent,vlm_greenery_score,vlm_greenery_intensity,vlm_footpath_score,vlm_lighting_score,vlm_shade_score,vlm_road_condition_score,vlm_building_height_score,vlm_building_density_score,vlm_population_density_score,vlm_land_use_type,vlm_overall_walkability,vlm_lane_marking_quality,vlm_lane_count,vlm_curvature_visible,vlm_intersection_visible,vlm_lane_width_estimate,vlm_vlm_notes,yolo_processed_at,vlm_processed_at
11,11,SE/5284,secondary,road,secondary,RURAL,6.329519549,55,55,0-5%,0.002743142144638404,35.5,43,0,0,1,0,Valid,75.6148571,18.1260821,75.6732139,18.1301937,"75.6148571,18.1260821,75.6732139,18.1301937",6329.51954935213,4,0,1,0,0,0,0,0,0,0.0,"{""0"": {""vehicles"": 0, ""pedestrians"": 0, ""by_class"": {}}, ""90"": {""vehicles"": 0, ""pedestrians"": 0, ""by_class"": {}}, ""180"": {""vehicles"": 0, ""pedestrians"": 0, ""by_class"": {}}, ""270"": {""vehicles"": 0, ""pedestrians"": 1, ""by_class"": {""person"": 1}}}",4,5,moderate,2,0,5,3,2,5,5,residential_low,5,0,0,0,0,unknown,"The road is unpaved and surrounded by trees and shrubs, with a few small structures and no visible street lighting. The area appears to be a quiet residential neighborhood.",2026-06-24 03:54:48,2026-06-24 03:55:50
12,12,SE/5268,secondary,road,secondary,RURAL,0.597055974,,,0-5%,0.0029925187032418953,29,39.5,0.5666666666666667,51,1,1,Valid,75.6492772,17.9869695,75.6537158,17.9900153,"75.6492772,17.9869695,75.6537158,17.9900153",597.0559735409084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,13,SE/5707,secondary,road,secondary,RURAL,6.804720856,55,55,0-5%,0.0032418952618453864,29.5,42,0,0,1,0,Valid,74.7606093,19.6568903,74.7204414,19.7035838,"74.7606093,19.6568903,74.7204414,19.7035838",6804.7208561265215,4,8,20,1,1,2,3,1,5,2.0,"{""0"": {""vehicles"": 0, ""pedestrians"": 8, ""by_class"": {""person"": 8}}, ""90"": {""vehicles"": 5, ""pedestrians"": 3, ""by_class"": {""car"": 1, ""person"": 3, ""truck"": 1, ""motorcycle"": 3}}, ""180"": {""vehicles"": 2, ""pedestrians"": 2, ""by_class"": {""person"": 2, ""bus"": 2}}, ""270"": {""vehicles"": 1, ""pedestrians"": 7, ""by_class"": {""person"": 7, ""bicycle"": 1}}}",4,6,dense,2,0,8,6,5,8,7,commercial,6,0,2,0,0,standard,"The street is lined with vendors selling goods, with trees providing shade and a mix of commercial and residential buildings nearby.",2026-06-24 03:54:49,2026-06-24 03:55:56
14,14,SE/6227,secondary,road,secondary,RURAL,7.777846822000001,55,55,0-5%,0.003491271820448878,14.133333333333333,29.333333333333332,0,0,1,0,Valid,76.5852791,19.1706552,76.6044095,19.2349792,"76.5852791,19.1706552,76.6044095,19.2349792",7777.846822254206,4,1,0,1,0,0,0,0,1,0.25,"{""0"": {""vehicles"": 0, ""pedestrians"": 0, ""by_class"": {""bench"": 1}}, ""90"": {""vehicles"": 0, ""pedestrians"": 0, ""by_class"": {}}, ""180"": {""vehicles"": 1, ""pedestrians"": 0, ""by_class"": {""car"": 1}}, ""270"": {""vehicles"": 0, ""pedestrians"": 0, ""by_class"": {}}}",4,5,moderate,0,0,0,5,5,5,5,residential_low,5,0,2,0,0,standard,The road is surrounded by modest residential structures and has a moderate amount of greenery. The road appears to be in good condition with two lanes and no visible lane markings.,2026-06-24 03:54:49,2026-06-24 03:56:04
15,15,SE/4605,secondary,road,secondary,RURAL,0.782719332,55,55,0-5%,0.003740648379052369,40.5,48.5,0.03614457831325301,3,1,0,Valid,73.9598535,17.2445146,73.95891,17.2376085,"73.9598535,17.2445146,73.95891,17.2376085",782.7193318988072,4,2,1,1,0,0,1,0,1,0.5,"{""0"": {""vehicles"": 1, ""pedestrians"": 0, ""by_class"": {""car"": 1}}, ""90"": {""vehicles"": 0, ""pedestrians"": 0, ""by_class"": {}}, ""180"": {""vehicles"": 0, ""pedestrians"": 0, ""by_class"": {}}, ""270"": {""vehicles"": 1, ""pedestrians"": 1, ""by_class"": {""person"": 1, ""motorcycle"": 1}}}",4,5,moderate,0,0,3,4,0,0,0,open_land,2,0,0,0,0,unknown,The road segment appears to be in a rural area with sparse vegetation and no visible buildings or infrastructure.,2026-06-24 03:54:50,2026-06-24 03:56:10
16,16,SE/5914,secondary,road,secondary,RURAL,3.271169145,55,55,0-5%,0.00399002493765586,26.5,31.5,0,0,1,0,Valid,75.7478544,19.572054,75.7717717,19.555453,"75.7478544,19.572054,75.7717717,19.555453",3271.169145332902,4,0,0,0,0,0,0,0,0,0.0,"{""0"": {""vehicles"": 0, ""pedestrians"": 0, ""by_class"": {}}, ""90"": {""vehicles"": 0, ""pedestrians"": 0, ""by_class"": {}}, ""180"": {""vehicles"": 0, ""pedestrians"": 0, ""by_class"": {}}, ""270"": {""vehicles"": 0, ""pedestrians"": 0, ""by_class"": {}}}",4,5,moderate,0,0,0,5,0,0,0,open_land,0,0,0,0,0,unknown,The road is surrounded by sparse vegetation and appears to be in a rural area with no visible buildings or human activity.,2026-06-24 03:54:51,2026-06-24 03:56:17
17,17,SE/7197,secondary,road,secondary,RURAL,0.6680392940000001,55,55,0-5%,0.004239401496259352,43.5,57.5,0.19,19,1,0,Valid,79.9436828,18.8368807,79.9490226,18.8400598,"79.9436828,18.8368807,79.9490226,18.8400598",668.0392936769426,4,0,0,0,0,0,0,0,0,0.0,"{""0"": {""vehicles"": 0, ""pedestrians"": 0, ""by_class"": {}}, ""90"": {""vehicles"": 0, ""pedestrians"": 0, ""by_class"": {}}, ""180"": {""vehicles"": 0, ""pedestrians"": 0, ""by_class"": {}}, ""270"": {""vehicles"": 0, ""pedestrians"": 0, ""by_class"": {}}}",4,8,dense,0,0,5,3,0,0,0,open_land,2,0,0,0,0,unknown,The road is surrounded by dense vegetation and appears to be in a rural area with no visible buildings or human activity.,2026-06-24 03:54:52,2026-06-24 03:56:24
18,18,SE/6419,secondary,road,secondary,RURAL,9.756533195,55,55,0-5%,0.004488778054862843,25,34.5,0,0,1,0,Valid,75.8971153,20.1249535,75.8177362,20.1250346,"75.8971153,20.1249535,75.8177362,20.1250346",9756.53319490872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,19,SE/8148,secondary,road,secondary,RURAL,7.727248866,55,55,0-5%,0.004738154613466334,15,26,0,0,1,0,Valid,75.7120515,17.605645,75.6604917,17.5704947,"75.7120515,17.605645,75.6604917,17.5704947",7727.2488663961085,4,2,0,1,0,0,0,1,2,0.5,"{""0"": {""vehicles"": 0, ""pedestrians"": 0, ""by_class"": {}}, ""90"": {""vehicles"": 2, ""pedestrians"": 0, ""by_class"": {""car"": 1, ""bicycle"": 1}}, ""180"": {""vehicles"": 0, ""pedestrians"": 0, ""by_class"": {}}, ""270"": {""vehicles"": 0, ""pedestrians"": 0, ""by_class"": {}}}",4,7,dense,0,0,7,5,0,0,0,open_land,2,0,0,1,0,unknown,The road is surrounded by dense greenery and appears to be in a rural or semi-rural area with no visible buildings or human activity.,2026-06-24 03:54:53,2026-06-24 03:56:31
20,20,SE/7156,secondary,road,secondary,RURAL,11.989962813,55,55,0-5%,0.004987531172069825,30,44,0,0,1,0,Valid,77.2994739,21.1183866,77.2408869,21.1633762,"77.2994739,21.1183866,77.2408869,21.1633762",11989.962812887934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,21,SE/7545,secondary,road,secondary,RURAL,0.8784926980000001,55,55,0-5%,0.005236907730673317,36,42,0,0,1,0,Valid,79.5745746,20.9965479,79.5815522,20.9928278,"79.5745746,20.9965479,79.5815522,20.9928278",878.4926982208983,4,0,2,0,0,0,0,0,0,0.0,"{""0"": {""vehicles"": 0, ""pedestrians"": 1, ""by_class"": {""kite"": 6, ""person"": 1}}, ""90"": {""vehicles"": 0, ""pedestrians"": 1, ""by_class"": {""kite"": 15, ""person"": 1}}, ""180"": {""vehicles"": 0, ""pedestrians"": 0, ""by_class"": {""kite"": 8, ""boat"": 1}}, ""270"": {""vehicles"": 0, ""pedestrians"": 0, ""by_class"": {""train"": 1}}}",4,2,sparse,0,0,0,3,3,5,5,residential_low,4,0,0,0,0,unknown,The road appears to be in a rural or semi-urban area with low residential density and limited infrastructure.,2026-06-24 03:54:54,2026-06-24 03:56:38
22,22,SE/7039,secondary,road,secondary,RURAL,10.500626322,,,0-5%,0.005486284289276808,27,42.5,0,0,1,1,Valid,77.4488302,19.9035566,77.4486147,19.9831737,"77.4488302,19.9035566,77.4486147,19.9831737",10500.626322441205,4,0,0,0,0,0,0,0,0,0.0,"{""0"": {""vehicles"": 0, ""pedestrians"": 0, ""by_class"": {}}, ""90"": {""vehicles"": 0, ""pedestrians"": 0, ""by_class"": {}}, ""180"": {""vehicles"": 0, ""pedestrians"": 0, ""by_class"": {}}, ""270"": {""vehicles"": 0, ""pedestrians"": 0, ""by_class"": {}}}",4,8,dense,0,0,7,8,0,0,0,open_land,2,8,2,1,0,standard,"The road is surrounded by lush greenery and has a slight curve, making it a pleasant drive. The road markings are clear and the surface appears well-maintained.",2026-06-24 03:54:55,2026-06-24 03:56:45
23,23,PR/1333,primary,road,primary,RURAL,42.155376268,55,55,0-5%,0.005735660847880299,17,17.75,0,0,1,0,Valid,73.3504378,20.1356253,73.168945,20.0283308,"73.3504378,20.1356253,73.168945,20.0283308",42155.376267709886,4,0,0,0,0,0,0,0,0,0.0,"{""0"": {""vehicles"": 0, ""pedestrians"": 0, ""by_class"": {}}, ""90"": {""vehicles"": 0, ""pedestrians"": 0, ""by_class"": {}}, ""180"": {""vehicles"": 0, ""pedestrians"": 0, ""by_class"": {}}, ""270"": {""vehicles"": 0, ""pedestrians"": 0, ""by_class"": {}}}",4,3,sparse,0,0,0,5,0,0,0,open_land,2,0,1,1,0,standard,The road is surrounded by sparse vegetation and appears to be in a rural area with no visible pedestrian paths or street lighting.,2026-06-24 03:54:56,2026-06-24 03:56:52
24,24,SE/6341,secondary,road,secondary,RURAL,1.2511087879999998,55,55,0-5%,0.0059850374064837905,31.5,45.666666666666664,0.027906976744186046,6,1,0,Valid,74.3057085,20.2484379,74.2959716,20.246428,"74.3057085,20.2484379,74.2959716,20.246428",1251.1087881804924,4,2,0,2,0,0,0,0,1,0.5,"{""0"": {""vehicles"": 0, ""pedestrians"": 0, ""by_class"": {}}, ""90"": {""vehicles"": 1, ""pedestrians"": 0, ""by_class"": {""car"": 1}}, ""180"": {""vehicles"": 1, ""pedestrians"": 0, ""by_class"": {""car"": 1}}, ""270"": {""vehicles"": 0, ""pedestrians"": 0, ""by_class"": {}}}",4,3,sparse,0,0,0,5,0,0,0,open_land,2,0,0,0,0,unknown,The road is unpaved and surrounded by sparse vegetation with no visible footpaths or street lighting. The area appears to be rural with no buildings or human activity in sight.,2026-06-24 03:54:57,2026-06-24 03:56:59
25,25,SE/5032,secondary,road,secondary,RURAL,3.499169875,55,55,0-5%,0.006234413965087282,41.333333333333336,48.833333333333336,0.06097560975609756,5,1,0,Valid,74.7672348,17.8690392,74.7974671,17.8716724,"74.7672348,17.8690392,74.7974671,17.8716724",3499.169874950346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,26,SE/7524,secondary,road,secondary,RURAL,0.747589018,55,55,0-5%,0.006483790523690773,41.5,53,0.140625,18,1,0,Valid,78.7737912,20.8850159,78.7700325,20.8798405,"78.7737912,20.8850159,78.7700325,20.8798405",747.5890177539562,4,0,2,0,0,0,0,0,0,0.0,"{""0"": {""vehicles"": 0, ""pedestrians"": 0, ""by_class"": {""surfboard"": 1}}, ""90"": {""vehicles"": 0, ""pedestrians"": 0, ""by_class"": {}}, ""180"": {""vehicles"": 0, ""pedestrians"": 2, ""by_class"": {""person"": 2}}, ""270"": {""vehicles"": 0, ""pedestrians"": 0, ""by_class"": {""surfboard"": 1}}}",4,6,moderate,0,0,0,8,0,0,0,open_land,2,8,2,1,0,standard,"The road is surrounded by greenery and has a slight curve, with standard lane markings and a two-lane road.",2026-06-24 03:54:58,2026-06-24 03:57:06
27,27,SE/4993,secondary,road,secondary,RURAL,1.485078361,55,55,0-5%,0.006733167082294264,32.5,41,0,0,1,0,Valid,75.2898636,17.4650196,75.2976738,17.4758617,"75.2898636,17.4650196,75.2976738,17.4758617",1485.0783606957882,4,2,1,0,0,0,2,0,1,0.5,"{""0"": {""vehicles"": 1, ""pedestrians"": 0, ""by_class"": {""motorcycle"": 1}}, ""90"": {""vehicles"": 1, ""pedestrians"": 0, ""by_class"": {""motorcycle"": 1}}, ""180"": {""vehicles"": 0, ""pedestrians"": 1, ""by_class"": {""person"": 1}}, ""270"": {""vehicles"": 0, ""pedestrians"": 0, ""by_class"": {}}}",4,5,sparse,0,0,0,5,0,0,0,open_land,0,0,0,0,0,unknown,The road is surrounded by open fields with sparse vegetation and no visible buildings or human activity.,2026-06-24 03:54:59,2026-06-24 03:57:13
28,28,SE/10859,secondary,road,secondary,RURAL,1.110991927,55,55,0-5%,0.006982543640897756,19.5,27,0,0,1,0,Valid,76.8581969,18.3842483,76.8497712,18.3883813,"76.8581969,18.3842483,76.8497712,18.3883813",1110.9919269143465,4,0,1,0,0,0,0,0,0,0.0,"{""0"": {""vehicles"": 0, ""pedestrians"": 0, ""by_class"": {""surfboard"": 1}}, ""90"": {""vehicles"": 0, ""pedestrians"": 1, ""by_class"": {""person"": 1}}, ""180"": {""vehicles"": 0, ""pedestrians"": 0, ""by_class"": {}}, ""270"": {""vehicles"": 0, ""pedestrians"": 0, ""by_class"": {}}}",4,8,dense,0,0,5,3,0,0,0,open_land,2,0,0,1,0,unknown,The road is surrounded by lush greenery and appears to be in a rural area with no visible buildings or human activity.,2026-06-24 03:55:00,2026-06-24 03:57:19
29,29,SE/10404,secondary,road,secondary,RURAL,4.786672374,55,55,0-5%,0.007231920199501247,19.5,25,0,0,1,0,Valid,76.6418539,18.2005635,76.6345814,18.2374766,"76.6418539,18.2005635,76.6345814,18.2374766",4786.67237361399,4,8,11,0,0,2,4,2,4,2.0,"{""0"": {""vehicles"": 0, ""pedestrians"": 1, ""by_class"": {""person"": 1, ""train"": 1}}, ""90"": {""vehicles"": 4, ""pedestrians"": 3, ""by_class"": {""motorcycle"": 3, ""person"": 3, ""bicycle"": 1}}, ""180"": {""vehicles"": 2, ""pedestrians"": 5, ""by_class"": {""person"": 5, ""bicycle"": 1, ""dog"": 1, ""bus"": 1}}, ""270"": {""vehicles"": 2, ""pedestrians"": 2, ""by_class"": {""person"": 2, ""motorcycle"": 1, ""bus"": 1}}}",4,5,moderate,3,0,5,5,3,5,5,residential_low,6,0,1,0,0,standard,"The road is surrounded by trees and vegetation, providing some shade. The road appears to be in good condition, but the footpath is not fully continuous. There is a mix of residential and commercial buildings, with some human activity visible.",2026-06-24 03:55:01,2026-06-24 03:57:26
30,30,SE/5263,secondary,road,secondary,RURAL,7.899164336,55,55,0-5%,0.007481296758104738,20.5,26.5,0,0,1,0,Valid,75.3966037,18.1852401,75.4551748,18.1617889,"75.3966037,18.1852401,75.4551748,18.1617889",7899.164336164,4,4,3,1,1,1,1,0,2,1.0,"{""0"": {""vehicles"": 2, ""pedestrians"": 0, ""by_class"": {""truck"": 1, ""bus"": 1}}, ""90"": {""vehicles"": 0, ""pedestrians"": 0, ""by_class"": {}}, ""180"": {""vehicles"": 1, ""pedestrians"": 3, ""by_class"": {""person"": 3, ""motorcycle"": 1}}, ""270"": {""vehicles"": 1, ""pedestrians"": 0, ""by_class"": {""car"": 1}}}",4,7,dense,2,0,0,8,0,0,0,open_land,2,8,2,0,0,standard,"The road is surrounded by lush greenery and appears to be in good condition, but there are no footpaths or street lighting. The area is open with no buildings in sight.",2026-06-24 03:55:02,2026-06-24 03:57:33
31,31,SE/5704,secondary,road,secondary,RURAL,14.760519539999999,55,55,0-5%,0.0077306733167082295,21.5,38.5,0,0,1,0,Valid,74.7870039,19.6124516,74.672992,19.5589804,"74.7870039,19.6124516,74.672992,19.5589804",14760.519539632925,4,2,1,0,0,0,2,0,1,0.5,"{""0"": {""vehicles"": 0, ""pedestrians"": 0, ""by_class"": {}}, ""90"": {""vehicles"": 1, ""pedestrians"": 0, ""by_class"": {""motorcycle"": 1}}, ""180"": {""vehicles"": 0, ""pedestrians"": 0, ""by_class"": {}}, ""270"": {""vehicles"": 1, ""pedestrians"": 1, ""by_class"": {""person"": 1, ""motorcycle"": 1}}}",4,6,dense,0,0,0,6,0,0,0,open_land,0,0,2,0,0,standard,The road is surrounded by lush greenery and appears to be in a rural area with no visible pedestrian paths or street lighting.,2026-06-24 03:55:02,2026-06-24 03:57:41
